name,datetime,order_type,volume,min_price,max_price,range,median,avg_price,mod_rank,item_id
adarza_kavat_imprint,2023-08-01T00:00:00.000+00:00,sell,327,6.0,14.0,8.0,10.0,10.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-08-01T00:00:00.000+00:00,buy,4,4.0,5.0,1.0,5.0,4.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-26T00:00:00.000+00:00,buy,1,5.0,5.0,0.0,5.0,5.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-31T00:00:00.000+00:00,buy,6,4.0,5.0,1.0,5.0,4.5,,5ba9f2054567de01415f6391
aeolak_barrel,2023-07-29T00:00:00.000+00:00,closed,14,17.0,20.0,3.0,19.0,18.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-08-01T00:00:00.000+00:00,sell,151,18.0,21.0,3.0,20.0,19.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-26T00:00:00.000+00:00,sell,162,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-26T00:00:00.000+00:00,closed,14,18.0,20.0,2.0,19.0,19.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-26T00:00:00.000+00:00,buy,20,5.0,18.0,13.0,10.0,11.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-30T00:00:00.000+00:00,closed,12,18.0,20.0,2.0,19.0,19.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-28T00:00:00.000+00:00,sell,191,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-29T00:00:00.000+00:00,buy,32,2.0,15.0,13.0,10.0,8.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-28T00:00:00.000+00:00,closed,9,18.0,20.0,2.0,19.0,19.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-31T00:00:00.000+00:00,sell,155,18.0,21.0,3.0,20.0,19.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-31T00:00:00.000+00:00,buy,37,2.0,16.0,14.0,10.0,9.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-31T00:00:00.000+00:00,closed,17,18.0,20.0,2.0,19.0,19.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-28T00:00:00.000+00:00,buy,30,2.0,18.0,16.0,10.0,10.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-30T00:00:00.000+00:00,buy,30,2.0,15.0,13.0,10.0,8.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-08-01T00:00:00.000+00:00,buy,44,2.0,16.0,14.0,10.0,9.0,,626ca573f40db600829c9d0d
