name,datetime,order_type,volume,min_price,max_price,avg_price,mod_rank,median,item_id,range
afuris_prime_receiver,2023-08-21T00:00:00.000+00:00,closed,38,12.0,15.0,13.5,,14.0,639a941e74b02f0088877853,3.0
afuris_prime_receiver,2023-08-21T00:00:00.000+00:00,buy,13279,3.0,13.0,8.0,,8.0,639a941e74b02f0088877853,10.0
afuris_prime_receiver,2023-08-21T00:00:00.000+00:00,sell,217,12.0,30.0,21.0,,17.5,639a941e74b02f0088877853,18.0
afuris_prime_receiver,2023-08-17T00:00:00.000+00:00,closed,48,12.0,19.0,15.5,,15.0,639a941e74b02f0088877853,7.0
afuris_prime_receiver,2023-08-17T00:00:00.000+00:00,buy,14055,4.0,12.0,8.0,,9.0,639a941e74b02f0088877853,8.0
afuris_prime_receiver,2023-08-17T00:00:00.000+00:00,sell,203,12.0,30.0,21.0,,19.0,639a941e74b02f0088877853,18.0
afuris_prime_receiver,2023-08-16T00:00:00.000+00:00,closed,38,13.0,17.0,15.0,,15.0,639a941e74b02f0088877853,4.0
afuris_prime_receiver,2023-08-16T00:00:00.000+00:00,buy,4438,7.0,11.0,9.0,,9.0,639a941e74b02f0088877853,4.0
afuris_prime_receiver,2023-08-16T00:00:00.000+00:00,sell,198,14.0,24.0,19.0,,19.0,639a941e74b02f0088877853,10.0
afuris_prime_receiver,2023-08-15T00:00:00.000+00:00,closed,43,13.0,17.0,15.0,,15.0,639a941e74b02f0088877853,4.0
afuris_prime_receiver,2023-08-15T00:00:00.000+00:00,buy,3471,7.0,11.0,9.0,,10.0,639a941e74b02f0088877853,4.0
afuris_prime_receiver,2023-08-15T00:00:00.000+00:00,sell,209,11.0,30.0,20.5,,19.0,639a941e74b02f0088877853,19.0
afuris_prime_set,2023-08-24T00:00:00.000+00:00,closed,10,54.0,55.0,54.5,,55.0,639a941c74b02f008887784c,1.0
afuris_prime_set,2023-08-24T00:00:00.000+00:00,buy,55,20.0,48.0,34.0,,32.5,639a941c74b02f008887784c,28.0
afuris_prime_set,2023-08-24T00:00:00.000+00:00,sell,268,48.0,73.0,60.5,,60.0,639a941c74b02f008887784c,25.0
afuris_prime_set,2023-08-23T00:00:00.000+00:00,closed,15,54.0,55.0,54.5,,55.0,639a941c74b02f008887784c,1.0
afuris_prime_set,2023-08-23T00:00:00.000+00:00,buy,48,25.0,40.0,32.5,,32.0,639a941c74b02f008887784c,15.0
afuris_prime_set,2023-08-23T00:00:00.000+00:00,sell,228,50.0,73.0,61.5,,60.0,639a941c74b02f008887784c,23.0
afuris_prime_set,2023-08-22T00:00:00.000+00:00,closed,22,50.0,60.0,55.0,,55.0,639a941c74b02f008887784c,10.0
